UniProt,MitoCarta3.0_SubMitoLocalization
Q9NU23,Matrix
Q2QL34,MIM
Q8TAE8,Matrix
Q00059,Matrix
P54886,Matrix
Q9NWU1,Matrix
Q6YP21,Matrix
Q9BW92,Matrix
Q969Z0,Matrix
Q6PI78,MIM
P60602,MIM
P30044,Matrix
Q9Y5T4,MIM
Q8WWC4,Matrix
Q9Y241,MIM
Q4G0I0,IMS
Q8IXI1,MOM
Q96H78,MIM
Q9NYQ3,unknown
Q15070,MIM
Q96AG3,MOM
Q9HBH5,Membrane
P56378,MIM
Q9Y2D0,Matrix
Q13057,Matrix
P0C7P0,Matrix
O43708,Matrix
Q6YFQ2,MIM
Q9HC38,Matrix
P09110,unknown
Q9UKG9,unknown
Q9HBH1,Matrix
Q49B96,IMS
P48728,Matrix
Q8NCN5,Matrix
Q9BYT8,Matrix
Q9Y3E2,Matrix
P22557,Matrix
Q8TAA5,Matrix
P49419,Matrix
Q9BXW7,Matrix
P55789,IMS
Q96T52,MIM
Q96KJ9,MIM
Q9NYK5,Matrix
Q8N5Z0,Matrix
Q9BWH2,MOM
O75608,unknown
P29803,Matrix
Q9UGC7,Matrix
Q969Y2,Matrix
Q9H903,Matrix
Q96TA2,MIM
P49753,Matrix
Q96IL0,MIM
Q96EY8,Matrix
P50336,MIM
P28288,Membrane
Q9NTG7,Matrix
Q86WU2,MIM
B4DEF8,Matrix
Q9H3J6,Matrix
Q96LU5,MIM
P54098,Matrix
Q5TC12,Matrix
P78537,unknown
Q3SY69,Matrix
Q8N8Q8,MIM
P36551,MIM
Q13423,MIM
A1L188,IMS
Q9Y6H3,IMS
Q8WVC6,Membrane
P56134,MIM
Q9BWM7,MIM
Q9UDR5,Matrix
Q9NR28,IMS
Q7Z4L0,MIM
Q9NR77,MIM
Q9BYV1,Matrix
Q9UI32,Matrix
Q9BUR5,MIM
Q709F0,MIM
A6NC05,Matrix
Q86XE5,Matrix
Q6DKK2,MIM
Q9NPE2,Matrix
Q8N3R3,Matrix
P23434,Matrix
Q9NXA8,Matrix
Q8TD30,Matrix
Q96B49,MOM
Q96A26,MIM
Q9NP58,MOM
Q9BQ69,Matrix
Q16762,Matrix
P00395,MIM
Q9H019,unknown
Q9NRG7,unknown
Q9UI17,Matrix
O95258,MIM
Q96N28,IMS
Q9BSY4,IMS
O94826,MOM
Q86X76,Matrix
Q6P587,Matrix
Q8NE86,MIM
Q02318,MIM
P03891,MIM
P03905,MIM
P03915,MIM
Q14154,MIM
Q53R41,Matrix
Q92665,Matrix
O75891,Matrix
O75127,Matrix
P55084,MIM
Q9H3H1,Matrix
Q9UJA2,MIM
Q8IVS8,Matrix
Q9H2D1,MIM
Q5JTZ9,Matrix
Q9Y2C4,MIM
Q9Y6H1,IMS
O15229,MOM
Q8TD22,MIM
Q9BQ52,Matrix
P07203,Matrix
Q92523,MOM
Q9Y3D6,MOM
Q9Y255,IMS
P55916,MIM
O95847,MIM
Q8TBP6,MIM
Q9BV35,MIM
Q9Y5R4,Matrix
Q96CQ1,MIM
Q96E52,MIM
Q2VYF4,MIM
Q96LJ7,MIM
P27105,Membrane
Q9NRN9,Matrix
Q9UJ68,Matrix
Q8WV74,Matrix
Q96T66,Matrix
Q96DW6,MIM
Q567V2,MIM
P53396,Matrix
Q9UBJ2,Membrane
Q8NFF5,Matrix
Q9Y234,Matrix
Q7Z3D6,Matrix
Q16822,Matrix
Q4G0N4,Matrix
P25325,MIM
Q86X67,Matrix
Q13085,Matrix
P80404,Matrix
P54868,Matrix
P51649,Matrix
0,MIM
Q9UG56,MIM
O95168,MIM
O14957,MIM
Q96C01,IMS
Q8N4H5,MOM
O43464,MIM
O15239,MIM
P00156,MIM
Q16774,Matrix
Q8N465,Matrix
Q9H6K4,MOM
O60218,unknown
O14832,Matrix
Q8N183,MIM
Q9BQ95,MIM
Q9H300,MIM
Q9Y6G3,Matrix
Q9NNZ3,Membrane
Q9Y3D7,MIM
P51648,Membrane
Q9UKU0,MOM
Q9HD23,MIM
Q9NUJ1,Matrix
Q9NQE9,unknown
Q9Y6I8,unknown
Q9H4B0,Matrix
P50583,Matrix
O43169,MOM
Q12849,Matrix
Q9Y676,Matrix
Q96LL9,MIM
P04040,IMS
Q16854,Matrix
Q9Y305,MIM
Q9NUB1,MIM
Q969G6,Matrix
Q9NQZ5,IMS
Q8WUD6,MIM
P03928,MIM
Q9NPL8,MIM
Q7Z5L4,unknown
Q9BUP3,Membrane
O43488,Matrix
P33316,Matrix
P00414,MIM
Q6IAN0,Membrane
O75570,Matrix
Q96AN5,MIM
Q9NPB1,Matrix
Q8IXI2,MOM
O00746,MIM
P49914,Matrix
